work_source_id,included_windows,report_candidates,boundary_excluded,isnad_research,manifest_project_path,manifest_sha256
SRC-HISTORY-BIDAYAH-ADAM,6,62,86,34,sources/secondary/report-level-extraction/SRC-HISTORY-BIDAYAH-ADAM/manifest.json,65bc82617fe21ea048e312d37050dfec10cbada1c93d565cebeb8f441085a7af
SRC-HISTORY-KAMIL-ADAM,3,26,38,5,sources/secondary/report-level-extraction/SRC-HISTORY-KAMIL-ADAM/manifest.json,61ce9ad20b9859e7c9c94299c00de3ea7a499342918fc40e9d98d65bcd21646a
SRC-HISTORY-MUNTAZAM-ADAM,5,117,81,53,sources/secondary/report-level-extraction/SRC-HISTORY-MUNTAZAM-ADAM/manifest.json,bac504805ec0d5f1f264b8bb3abfbd02049b56cd840687a8898864ba3fad25ee
SRC-HISTORY-TABARI-ADAM,7,149,191,111,sources/secondary/report-level-extraction/SRC-HISTORY-TABARI-ADAM/manifest.json,78a087075f8a9b22b265615bdfd28f2634d678903cb658b4d5ae3e53d37e5a30
SRC-TAFSIR-BAGHAWI-ADAM,12,89,22,28,sources/secondary/report-level-extraction/SRC-TAFSIR-BAGHAWI-ADAM/manifest.json,c0ac307703bad24ad30498f90ffb197017c3f18fd9aa76053b96a4d52188d3c6
SRC-TAFSIR-IBN-ABI-HATIM-ADAM,14,139,69,29,sources/secondary/report-level-extraction/SRC-TAFSIR-IBN-ABI-HATIM-ADAM/manifest.json,0eec9d66bda3c64f968910320e7f983c8910b675d9b766c3b6a57e52c68bc494
SRC-TAFSIR-IBN-KATHIR-ADAM,12,158,16,83,sources/secondary/report-level-extraction/SRC-TAFSIR-IBN-KATHIR-ADAM/manifest.json,6746837688038a7c2b74821ef95a590e457da6138a07c066b0c5b9d56d6c2c93
SRC-TAFSIR-SAADI-ADAM,18,62,16,1,sources/secondary/report-level-extraction/SRC-TAFSIR-SAADI-ADAM/manifest.json,33384365368a6555c571ae6923618caf578cad32d30556f719723b6c11fa340c
SRC-TAFSIR-TABARI-ADAM,15,334,40,200,sources/secondary/report-level-extraction/SRC-TAFSIR-TABARI-ADAM/manifest.json,8e609969738aac36867eacc0f14d93bd01eeb4e3e1870dfffad1cbf52831d059
