queue,rank,window_id,work_source_id,book_id,book_title,sequence_start,sequence_end,page_count,candidate_count,review_priority,aggregate_window_score,tier_A,tier_B,tier_C,tier_D,stages,matched_categories,attribution_profiles,character_count,text_truncated,decision,scope_fit,duplicate_group,reviewer_notes,first_locator
RESERVE,1,ecf14a977ef20533f83c0731,SRC-TAFSIR-IBN-KATHIR-ADAM,1503,تفسير ابن كثير - ط ابن الجوزي,2616,2619,4,2,249,103,1,1,0,0,00_GENERAL_ADAM | 01_CREATION_DECREE | 03_SPIRIT_AND_FORM,ADAM_PRIMARY | CREATION_DECREE | SPIRIT_AND_FORM,,11925,False,,,,,
RESERVE,2,7ba7f824f096eba9496f7a77,SRC-HISTORY-BIDAYAH-ADAM,4445,البداية والنهاية - ت التركي,12827,12830,4,2,247,101,1,1,0,0,00_GENERAL_ADAM | 01_CREATION_DECREE | 03_SPIRIT_AND_FORM,ADAM_PRIMARY | CREATION_DECREE | SPIRIT_AND_FORM,,5987,False,,,,,
RESERVE,3,62dbc6729a0b91cfede22bce,SRC-TAFSIR-BAGHAWI-ADAM,41,تفسير البغوي - طيبة,2446,2449,4,2,247,111,1,0,1,0,00_GENERAL_ADAM | 01_CREATION_DECREE | 02_CREATION_MATERIAL | 03_SPIRIT_AND_FORM,ADAM_PRIMARY | CREATION_DECREE | CREATION_MATERIAL | SPIRIT_AND_FORM,,8815,False,,,,,
RESERVE,4,2a116191848963b5cffa8404,SRC-TAFSIR-SAADI-ADAM,42,تفسير السعدي = تيسير الكريم الرحمن,1155,1159,5,3,241,97,1,0,2,0,00_GENERAL_ADAM | 01_CREATION_DECREE | 02_CREATION_MATERIAL | 06_ANGELIC_PROSTRATION,ADAM_PRIMARY | ANGELIC_PROSTRATION | CREATION_DECREE | CREATION_MATERIAL,,9326,False,,,,,
RESERVE,5,d368f80616cf6599c0096881,SRC-TAFSIR-IBN-ABI-HATIM-ADAM,8658,تفسير ابن أبي حاتم,4094,4096,3,1,240,112,1,0,0,0,00_GENERAL_ADAM | 01_CREATION_DECREE | 02_CREATION_MATERIAL | 06_ANGELIC_PROSTRATION,ADAM_PRIMARY | ANGELIC_PROSTRATION | CREATION_DECREE | CREATION_MATERIAL,,4229,False,,,,,
RESERVE,6,a15644471b665c0740787f32,SRC-TAFSIR-SAADI-ADAM,42,تفسير السعدي = تيسير الكريم الرحمن,1473,1475,3,1,239,111,1,0,0,0,00_GENERAL_ADAM | 01_CREATION_DECREE | 02_CREATION_MATERIAL | 03_SPIRIT_AND_FORM,ADAM_PRIMARY | CREATION_DECREE | CREATION_MATERIAL | SPIRIT_AND_FORM,,6104,False,,,,,
RESERVE,7,9c62f266f8d57301885902a2,SRC-TAFSIR-SAADI-ADAM,42,تفسير السعدي = تيسير الكريم الرحمن,1240,1242,3,1,237,109,1,0,0,0,00_GENERAL_ADAM | 01_CREATION_DECREE | 02_CREATION_MATERIAL | 03_SPIRIT_AND_FORM,ADAM_PRIMARY | CREATION_DECREE | CREATION_MATERIAL | SPIRIT_AND_FORM,,8434,False,,,,,
RESERVE,8,13eee9ae6e97958102a8f475,SRC-HISTORY-BIDAYAH-ADAM,4445,البداية والنهاية - ت التركي,5262,5264,3,1,236,108,1,0,0,0,00_GENERAL_ADAM | 01_CREATION_DECREE | 02_CREATION_MATERIAL | 06_ANGELIC_PROSTRATION,ADAM_PRIMARY | ANGELIC_PROSTRATION | CREATION_DECREE | CREATION_MATERIAL,,5173,False,,,,,
RESERVE,9,2ce508922377ddcde61638e7,SRC-HISTORY-MUNTAZAM-ADAM,12406,المنتظم في تاريخ الملوك والأمم,6682,6687,6,3,234,102,1,0,2,0,00_GENERAL_ADAM | 01_CREATION_DECREE | 06_ANGELIC_PROSTRATION,ADAM_PRIMARY | ANGELIC_PROSTRATION | CREATION_DECREE,,11902,False,,,,,
RESERVE,10,654e3a6f1897e0ccb4fcee7e,SRC-TAFSIR-IBN-ABI-HATIM-ADAM,8658,تفسير ابن أبي حاتم,2323,2330,8,3,231,107,1,1,1,0,00_GENERAL_ADAM | 02_CREATION_MATERIAL | 06_ANGELIC_PROSTRATION,ADAM_PRIMARY | ANGELIC_PROSTRATION | CREATION_MATERIAL,,18024,True,,,,,
