normalized_report_id,parent_report_candidate_ids,lineage_action,work_source_id,book_id,corrected_report_kind_candidate,report_form_candidate,chain_node_count,terminal_speaker_surface_candidate,normalization_warnings,boundary_decision,speaker_resolution,chain_resolution,reviewer_notes
adam_normalized_report_8b5612ea58fd77f456ac5e98,adam_report_candidate_2edfab9fda09ee05e62b74f4,PASSTHROUGH_SINGLE,SRC-HISTORY-BIDAYAH-ADAM,4445,SOURCE_PASSAGE_CONTEXT_CANDIDATE,UNRESOLVED_REPORT_FORM_CANDIDATE,0,,,,,,
adam_normalized_report_b3db0ad697047c6935ed3d93,adam_report_candidate_71dd2615d83e670190b4ea7a,PASSTHROUGH_SINGLE,SRC-HISTORY-BIDAYAH-ADAM,4445,SOURCE_PASSAGE_CONTEXT_CANDIDATE,UNRESOLVED_REPORT_FORM_CANDIDATE,0,,,,,,
adam_normalized_report_d6f9b0880cc7d37776b68063,adam_report_candidate_9a4fc86ccecd345a7efee40e,PASSTHROUGH_SINGLE,SRC-HISTORY-BIDAYAH-ADAM,4445,SOURCE_PASSAGE_CONTEXT_CANDIDATE,UNRESOLVED_REPORT_FORM_CANDIDATE,0,,,,,,
adam_normalized_report_4f80da78c0626f6253f2ddf2,adam_report_candidate_eade6ca8d2b796add95a36ad,RESEGMENTED,SRC-HISTORY-BIDAYAH-ADAM,4445,PROPHETIC_HADITH_CANDIDATE,MARFU_CONTEXT_CANDIDATE,0,,NO_DETERMINISTIC_SPLIT_FOUND | REQUESTED_RESEGMENTATION_NOT_ACHIEVED,,,,
adam_normalized_report_6294241053990f75b02e8966,adam_report_candidate_d5005adedd5b528340037881,RESEGMENTED,SRC-HISTORY-BIDAYAH-ADAM,4445,EARLY_REPORT_CANDIDATE,UNRESOLVED_REPORT_FORM_CANDIDATE,0,,NO_DETERMINISTIC_SPLIT_FOUND | POSSIBLE_MID_REPORT_FRAGMENT | REQUESTED_RESEGMENTATION_NOT_ACHIEVED,,,,
adam_normalized_report_ec35f132ad45bf4114c6cd50,adam_report_candidate_094bba52d0e38f83ebad7abe,PASSTHROUGH_SINGLE,SRC-HISTORY-BIDAYAH-ADAM,4445,SOURCE_PASSAGE_CONTEXT_CANDIDATE,UNRESOLVED_REPORT_FORM_CANDIDATE,0,,,,,,
adam_normalized_report_4f285d6454eaeff57bbe87b4,adam_report_candidate_fcab49300119763f81cb52f7,PASSTHROUGH_SINGLE,SRC-HISTORY-BIDAYAH-ADAM,4445,PROPHETIC_HADITH_CANDIDATE,MARFU_EXPLICIT_CANDIDATE,0,,,,,,
adam_normalized_report_7f985181dcbd35bb47c930f1,adam_report_candidate_d75a952db3213febc9f9e28a,PASSTHROUGH_SINGLE,SRC-HISTORY-BIDAYAH-ADAM,4445,PROPHETIC_HADITH_CANDIDATE,MARFU_CONTEXT_CANDIDATE,0,,,,,,
adam_normalized_report_5f7578bd3ddf4628ac729e3b,adam_report_candidate_b715e9ce7d1b3c68e935192a,RESEGMENTED,SRC-HISTORY-BIDAYAH-ADAM,4445,EARLY_REPORT_CANDIDATE,MAWQUF_OR_TAFSIR_REPORT_CANDIDATE,0,,NO_DETERMINISTIC_SPLIT_FOUND | REQUESTED_RESEGMENTATION_NOT_ACHIEVED,,,,
adam_normalized_report_d40f5deb9737d9cfb554bc03,adam_report_candidate_09c4cf4e5a88158181917ba7,PASSTHROUGH_SINGLE,SRC-HISTORY-BIDAYAH-ADAM,4445,EARLY_REPORT_CANDIDATE,MAWQUF_OR_TAFSIR_REPORT_CANDIDATE,0,,,,,,
adam_normalized_report_a57bb039713b1e08f8460df8,adam_report_candidate_313efaea56f4be948fb96cb9,PASSTHROUGH_SINGLE,SRC-HISTORY-BIDAYAH-ADAM,4445,SOURCE_PASSAGE_CONTEXT_CANDIDATE,MAQTU_OR_TAFSIR_REPORT_CANDIDATE,0,,,,,,
