work_source_id,book_id,book_title,scanned_pages,candidates_before_cap,candidates,tier_a,tier_b,tier_c,tier_d,attribution_candidates
SRC-HISTORY-BIDAYAH-ADAM,4445,البداية والنهاية - ت التركي,13161,435,435,38,60,333,4,16
SRC-HISTORY-KAMIL-ADAM,21712,الكامل في التاريخ - ت تدمري,6163,72,72,7,14,51,0,1
SRC-HISTORY-MUNTAZAM-ADAM,12406,المنتظم في تاريخ الملوك والأمم,6790,193,193,8,37,146,2,14
SRC-HISTORY-TABARI-ADAM,9783,تاريخ الطبري = تاريخ الرسل والملوك، وصلة تاريخ الطبري,6431,200,200,22,36,140,2,5
SRC-TAFSIR-BAGHAWI-ADAM,41,تفسير البغوي - طيبة,3553,248,248,13,54,176,5,18
SRC-TAFSIR-IBN-ABI-HATIM-ADAM,8658,تفسير ابن أبي حاتم,4457,595,595,11,63,519,2,30
SRC-TAFSIR-IBN-KATHIR-ADAM,1503,تفسير ابن كثير - ط ابن الجوزي,4652,561,561,44,88,423,6,32
SRC-TAFSIR-SAADI-ADAM,42,تفسير السعدي = تيسير الكريم الرحمن,2175,77,77,14,17,46,0,0
SRC-TAFSIR-TABARI-ADAM,7798,تفسير الطبري جامع البيان - ت التركي,16518,951,800,51,147,602,0,27
